# Generazione: Individuo: Fitness:
6 114 37.2655
6 115 37.2736
6 116 37.3186
6 117 37.3373
6 118 37.7142
6 119 37.7142
6 120 37.877
6 121 37.9798
6 122 37.992
6 123 37.9979
6 124 38.1661
6 125 38.1823
6 126 38.4234
6 127 38.9086
6 128 38.9086
6 129 39.0065
6 130 39.0503
6 131 39.0657
6 132 39.0883
6 133 39.3494
6 134 39.5099
6 135 39.5099
6 136 39.5099
6 137 39.5099
6 138 39.5099
6 139 39.5099
6 140 39.5099
6 141 39.5099
6 142 39.5253
6 143 39.5903
6 144 39.7873
6 145 40.0537
6 146 40.0537
6 147 40.0582
6 148 40.135
6 149 40.1577
6 150 40.2646
6 151 40.6861
6 152 40.7425
6 153 40.7533
6 154 40.7533
6 155 40.7964
6 156 41.1298
6 157 41.1298
6 158 41.1298
6 159 41.4716
6 160 41.6339
6 161 41.6339
6 162 41.6339
6 163 41.6339
6 164 41.6339
6 165 41.6339
6 166 41.6385
6 167 41.6482
6 168 41.6482
6 169 41.6482
6 170 41.6528
6 171 41.7267
6 172 41.743
6 173 42.1372
6 174 42.2775
6 175 42.6292
6 176 42.6595
6 177 42.6951
6 178 43.0321
6 179 43.0321
6 180 43.0382
6 181 43.4082
6 182 43.5753
6 183 43.8997
6 184 44.4256
6 185 44.4256
6 186 44.4416
6 187 44.4416
6 188 44.531
6 189 44.5413
6 190 44.8949
6 191 44.9553
6 192 44.9553
6 193 45.0049
6 194 46.2278
6 195 46.3092
6 196 46.3092
6 197 46.3092
6 198 46.3092
6 199 46.3092
6 200 47.2847
7 1 22.7922
7 2 24.3274
7 3 24.3274
7 4 24.3274
7 5 24.3274
7 6 24.3274
7 7 24.3274
7 8 24.3274
7 9 24.3274
7 10 24.3274
7 11 24.3274
7 12 24.3274
7 13 24.3274
7 14 24.3274
7 15 24.3274
7 16 24.3274
7 17 24.3274
7 18 24.3274
7 19 24.3274
7 20 24.3274
7 21 25.3051
7 22 25.3051
7 23 25.3051
7 24 25.317
7 25 25.317
7 26 26.0619
7 27 26.0619
7 28 26.0619
7 29 26.0619
7 30 26.0619
7 31 26.0735
7 32 26.0735
7 33 26.0735
7 34 26.0735
7 35 26.0735
7 36 26.0735
7 37 26.0735
7 38 26.0735
7 39 26.2493
7 40 26.3461
7 41 26.6603
7 42 26.6603
7 43 26.7298
7 44 26.752
7 45 27.544
7 46 27.5812
7 47 28.055
7 48 28.055
7 49 28.055
7 50 28.055
7 51 28.055
7 52 28.055
7 53 28.2041
7 54 28.2317
7 55 28.2317
7 56 28.2317
7 57 28.2317
7 58 28.2317
7 59 28.3185
7 60 28.3974
7 61 28.6409
7 62 28.7807
7 63 28.917
7 64 29.082
7 65 29.171
7 66 29.171
7 67 29.171
7 68 29.6567
7 69 29.7735
7 70 29.7735
7 71 29.7735
7 72 29.7735
7 73 29.7735
7 74 29.7735
7 75 29.7735
7 76 29.7735
7 77 30.2509
7 78 30.8177
7 79 31.4116
7 80 31.4116
7 81 31.7197
7 82 31.8929
7 83 32.4954
7 84 32.9174
7 85 32.9212
7 86 32.9212
7 87 32.9212
7 88 32.9212
7 89 33.0093
7 90 33.3681
7 91 33.3681
7 92 34.1247
7 93 34.5086
7 94 34.5131
7 95 34.6093
7 96 34.6093
7 97 34.8338
7 98 34.959
7 99 35.1193
7 100 35.1193
7 101 35.1193
7 102 35.6749
7 103 35.9004
7 104 35.9996
7 105 35.9996
7 106 35.9996
7 107 35.9996
7 108 36
7 109 36.0979
7 110 36.1427
7 111 36.2271
7 112 36.5164
7 113 36.5164
7 114 36.5429
7 115 36.5988
7 116 36.5988
7 117 36.9495
7 118 36.9495
7 119 37.0489
7 120 37.0489
7 121 37.0489
7 122 37.0598
7 123 37.1299
7 124 37.1299
7 125 37.1559
7 126 37.1559
7 127 37.2655
7 128 37.2736
7 129 37.3186
7 130 37.3373
7 131 37.3373
7 132 37.7142
7 133 37.7142
7 134 37.877
7 135 37.9798
7 136 37.9979
7 137 38.1661
7 138 38.9086
7 139 38.9086
7 140 39.0503
7 141 39.0657
7 142 39.5099
7 143 39.5099
7 144 39.5099
7 145 39.5099
7 146 39.5099
7 147 39.5253
7 148 40.0537
7 149 40.0537
7 150 40.2646
7 151 40.6861
7 152 40.7425
7 153 40.7425
7 154 40.7533
7 155 40.7533
7 156 40.7533
7 157 40.7533
7 158 40.7964
7 159 40.9869
7 160 41.1298
7 161 41.1298
7 162 41.1298
7 163 41.1428
7 164 41.4716
