#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
401 0.0351867 0.73833 0.58675 -0.424821 0.0027044
402 0.0348348 0.741669 0.570224 -0.414408 0.00279837
403 0.0344865 0.741606 0.563293 -0.409034 0.00312505
404 0.0341416 0.733984 0.577304 -0.418915 0.00256491
405 0.0338002 0.721761 0.582938 -0.423709 0.00284629
406 0.0334622 0.735008 0.572521 -0.414024 0.00283143
407 0.0331276 0.731454 0.573745 -0.417207 0.00293795
408 0.0327963 0.73411 0.566788 -0.408926 0.00327811
409 0.0324683 0.746688 0.571889 -0.4165 0.00319944
410 0.0321436 0.738035 0.57348 -0.41809 0.00298036
411 0.0318222 0.72274 0.587385 -0.416543 0.00240622
412 0.031504 0.715693 0.581816 -0.406731 0.00278208
413 0.0311889 0.722017 0.57395 -0.410223 0.00252537
414 0.030877 0.722017 0.57395 -0.405537 0.00277791
415 0.0305683 0.725636 0.585687 -0.414384 0.00270423
416 0.0302626 0.735124 0.578313 -0.419157 0.00294309
417 0.02996 0.724161 0.575967 -0.412067 0.00248241
418 0.0296604 0.720215 0.582483 -0.411809 0.00270637
419 0.0293638 0.71576 0.588068 -0.412389 0.00259937
420 0.0290701 0.730353 0.593417 -0.423086 0.00222762
421 0.0287794 0.716776 0.593057 -0.417918 0.00225265
422 0.0284916 0.712742 0.589015 -0.413691 0.00286505
423 0.0282067 0.720625 0.599855 -0.417071 0.00217973
424 0.0279246 0.71656 0.600568 -0.413979 0.00239625
425 0.0276454 0.711156 0.590245 -0.409902 0.00228125
426 0.0273689 0.724531 0.594216 -0.413638 0.00276424
427 0.0270953 0.729957 0.584449 -0.423595 0.00239965
428 0.0268243 0.721086 0.597152 -0.418099 0.00218533
429 0.0265561 0.711136 0.588782 -0.412446 0.00265548
430 0.0262905 0.711136 0.588782 -0.407654 0.00282355
431 0.0260276 0.712082 0.587116 -0.408137 0.00271222
432 0.0257673 0.724776 0.581357 -0.417336 0.00275253
433 0.0255096 0.713166 0.59255 -0.413756 0.00233217
434 0.0252546 0.717697 0.594816 -0.415384 0.0025767
435 0.025002 0.726878 0.588125 -0.422562 0.00261983
436 0.024752 0.729882 0.592361 -0.421245 0.00281869
437 0.0245045 0.735308 0.586624 -0.419624 0.00262619
438 0.0242594 0.729883 0.579101 -0.414999 0.00259887
439 0.0240168 0.723036 0.577763 -0.415512 0.00285974
440 0.0237767 0.721637 0.575719 -0.407623 0.00294357
441 0.0235389 0.726479 0.582563 -0.415539 0.00254521
442 0.0233035 0.733873 0.590924 -0.422777 0.00268668
443 0.0230705 0.735934 0.584188 -0.418425 0.00257739
444 0.0228398 0.735934 0.584188 -0.421327 0.00279655
